"var","categoria","A Julio Zamora por el Frente de Todos","A Segundo Cernadas por Juntos por el Cambio","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P57","Muy buena",0.391,0.059,0.045,0.36,0.176
"P57","Buena",0.215,0.054,0.015,0.045,0.129
"P57","Ni buena ni mala",0.157,0.144,0.115,0.096,0.111
"P57","Mala",0.04,0.172,0.138,0.046,0.163
"P57","Muy mala",0.161,0.514,0.665,0.325,0.327
"P57","No sabe",0.036,0.057,0.022,0.128,0.094
"P58","Muy buena",0.134,0.477,0.245,0.073,0.129
"P58","Buena",0.08,0.268,0.242,0.01,0.183
"P58","Ni buena ni mala",0.089,0.083,0.15,0.039,0.231
"P58","Mala",0.133,0.051,0.146,0.017,0.074
"P58","Muy mala",0.564,0.113,0.217,0.711,0.375
"P58","No sabe",0,0.008,0,0.15,0.008
"P59","Muy buena",0.125,0.174,0.515,0.027,0.23
"P59","Buena",0.081,0.141,0.207,0.028,0.107
"P59","Ni buena ni mala",0.066,0.317,0.171,0.043,0.17
"P59","Mala",0.128,0.198,0.054,0.057,0.143
"P59","Muy mala",0.595,0.126,0.053,0.718,0.289
"P59","No sabe",0.005,0.044,0,0.127,0.061
"P60","Muy buena",0.549,0.048,0.138,0.538,0.208
"P60","Buena",0.2,0.032,0.032,0.085,0.074
"P60","Ni buena ni mala",0.021,0.111,0.09,0.017,0.134
"P60","Mala",0.033,0.107,0.076,0.033,0.094
"P60","Muy mala",0.194,0.691,0.664,0.2,0.464
"P60","No sabe",0.003,0.011,0,0.127,0.026
"P61","Muy buena",0.127,0.162,0.062,0.186,0.101
"P61","Buena",0.056,0.249,0.256,0.01,0.096
